Row,Col,D_Base,D_Med,D_MedT,D_Tip,S_Total,S_Prox,S_Dist,M_Total,M_Prox,M_Dist,Slope_R,Slope_D,Ratio_R,DatasetID,RatNum,Strain,Sex,Side,,Legend:,,,
1,0,0.12,NaN,NaN,0.015,39,NaN,NaN,NaN,NaN,NaN,0.00135,0.00269,8,2,NaN,NaN,NaN,NaN,,,,,
2,0,0.09,NaN,NaN,0.001,29,NaN,NaN,NaN,NaN,NaN,0.00153,0.00307,90,2,NaN,NaN,NaN,NaN,,DatasetID,,,Units
3,0,0.17,NaN,NaN,0.005,58,NaN,NaN,NaN,NaN,NaN,0.00142,0.00284,34,2,NaN,NaN,NaN,NaN,,1) Present Study (Dataset 2),,,D_Base (mm)
4,0,0.15,NaN,NaN,0.03,42,NaN,NaN,NaN,NaN,NaN,0.00143,0.00286,5,2,NaN,NaN,NaN,NaN,,2) Neimark et al. 2003,,,D_Med (microns)
1,1,0.12,NaN,NaN,0.012,47,NaN,NaN,NaN,NaN,NaN,0.00115,0.0023,10,2,NaN,NaN,NaN,NaN,,3) Voges et al. 2012,,,D_MedT (microns)
2,1,0.145,NaN,NaN,0.03,34,NaN,NaN,NaN,NaN,NaN,0.00169,0.00338,5,2,NaN,NaN,NaN,NaN,,"4) Ibrahim and Wright, 1975",,,D_Tip (mm)
3,1,0.09,NaN,NaN,0.025,26,NaN,NaN,NaN,NaN,NaN,0.00125,0.0025,4,2,NaN,NaN,NaN,NaN,,5) Hartmann et al. 2003,,,S_Total (mm)
4,1,0.145,NaN,NaN,0.035,35,NaN,NaN,NaN,NaN,NaN,0.00157,0.00314,4,2,NaN,NaN,NaN,NaN,,6) Kan et al. 2013,,,S_Prox (mm)
5,1,0.155,NaN,NaN,0.025,36,NaN,NaN,NaN,NaN,NaN,0.00181,0.00361,6,2,NaN,NaN,NaN,NaN,,7) Birdwell et al. 2007,,,S_Dist (mm)
1,2,0.13,NaN,NaN,0.006,34,NaN,NaN,NaN,NaN,NaN,0.00182,0.00365,22,2,NaN,NaN,NaN,NaN,,8) Present Study (Dataset 1),,,M_Total (micrograms)
2,2,0.085,NaN,NaN,0.035,24,NaN,NaN,NaN,NaN,NaN,0.00104,0.00208,2,2,NaN,NaN,NaN,NaN,,,,,M_Prox (micrograms)
3,2,0.14,NaN,NaN,0.001,37,NaN,NaN,NaN,NaN,NaN,0.00188,0.00376,140,2,NaN,NaN,NaN,NaN,,Strain,,,M_Dist (micrograms)
5,2,0.18,NaN,NaN,0.005,38,NaN,NaN,NaN,NaN,NaN,0.0023,0.00461,36,2,NaN,NaN,NaN,NaN,,1) Sprague-Dawley,,,
1,3,0.098,NaN,NaN,0.002,24,NaN,NaN,NaN,NaN,NaN,0.002,0.004,49,2,NaN,NaN,NaN,NaN,,2) Long-Evans,,,
2,3,0.115,NaN,NaN,0.005,26,NaN,NaN,NaN,NaN,NaN,0.00212,0.00423,23,2,NaN,NaN,NaN,NaN,,3) Wistar Hannover,,,
3,3,0.125,NaN,NaN,0.005,28,NaN,NaN,NaN,NaN,NaN,0.00214,0.00429,25,2,NaN,NaN,NaN,NaN,,,,,
4,3,0.14,NaN,NaN,0.005,28,NaN,NaN,NaN,NaN,NaN,0.00241,0.00482,28,2,NaN,NaN,NaN,NaN,,Sex,,,
