Row,Col,D_Base,D_Med,D_MedT,D_Tip,S_Total,S_Prox,S_Dist,M_Total,M_Prox,M_Dist,Slope_R,Slope_D,Ratio_R,DatasetID,RatNum,Strain,Sex,Side,,Legend:,,,,,,,,,
1,0,0.12,NaN,NaN,0.015,39,NaN,NaN,NaN,NaN,NaN,0.00135,0.00269,8,1,NaN,NaN,NaN,NaN,,,,,,,,,,,
2,0,0.09,NaN,NaN,0.001,29,NaN,NaN,NaN,NaN,NaN,0.00153,0.00307,90,1,NaN,NaN,NaN,NaN,,DatasetID,,,Units,,,,,,
3,0,0.17,NaN,NaN,0.005,58,NaN,NaN,NaN,NaN,NaN,0.00142,0.00284,34,1,NaN,NaN,NaN,NaN,,1) Neimark et al. 2003,,,D_Base (mm),,,,,,
4,0,0.15,NaN,NaN,0.03,42,NaN,NaN,NaN,NaN,NaN,0.00143,0.00286,5,1,NaN,NaN,NaN,NaN,,2) Voges et al. 2012,,,D_Med (mm),,,,,,
1,1,0.12,NaN,NaN,0.012,47,NaN,NaN,NaN,NaN,NaN,0.00115,0.00230,10,1,NaN,NaN,NaN,NaN,,"3) Ibrahim and Wright, 1975",,,D_MedT (mm),,,,,,
2,1,0.145,NaN,NaN,0.03,34,NaN,NaN,NaN,NaN,NaN,0.00169,0.00338,5,1,NaN,NaN,NaN,NaN,,4) Hartmann et al. 2003,,,D_Tip (mm),,,,,,
3,1,0.09,NaN,NaN,0.025,26,NaN,NaN,NaN,NaN,NaN,0.00125,0.00250,4,1,NaN,NaN,NaN,NaN,,5) Kan et al. 2013,,,S_Total (mm),,,,,,
4,1,0.145,NaN,NaN,0.035,35,NaN,NaN,NaN,NaN,NaN,0.00157,0.00314,4,1,NaN,NaN,NaN,NaN,,6) Birdwell et al. 2007,,,S_Prox (mm),,,,,,
5,1,0.155,NaN,NaN,0.025,36,NaN,NaN,NaN,NaN,NaN,0.00181,0.00361,6,1,NaN,NaN,NaN,NaN,,7) Present Study (Dataset 2),,,S_Dist (mm),,,,,,
1,2,0.13,NaN,NaN,0.006,34,NaN,NaN,NaN,NaN,NaN,0.00182,0.00365,22,1,NaN,NaN,NaN,NaN,,8) Present Study (Dataset 1),,,M_Total (micrograms),,,,,,
2,2,0.085,NaN,NaN,0.035,24,NaN,NaN,NaN,NaN,NaN,0.00104,0.00208,2,1,NaN,NaN,NaN,NaN,,,,,M_Prox (micrograms),,,,,,
3,2,0.14,NaN,NaN,0.001,37,NaN,NaN,NaN,NaN,NaN,0.00188,0.00376,140,1,NaN,NaN,NaN,NaN,,Strain,,,M_Dist (micrograms),,,,,,
